"age","income","gender","web_visits","purchased"
48,1632,"Female",1,1
32,7997,"Female",11,0
68,7930,"Male",23,0
31,8358,"Female",6,1
20,1051,"Male",19,0
59,9563,"Male",8,1
67,3828,"Female",26,1
60,1437,"Female",21,0
54,4315,"Male",27,1
69,5889,"Male",2,0
31,5642,"Female",28,0
42,9303,"Female",9,1
43,6324,"Female",15,0
44,2656,"Female",24,1
22,2003,"Male",24,1
68,9312,"Male",18,0
44,6799,"Male",7,1
45,8159,"Female",17,0
26,9886,"Female",23,1
46,9127,"Female",24,0
52,6827,"Male",25,0
25,3445,"Female",20,0
43,7821,"Female",17,0
24,2537,"Female",16,0
59,2089,"Female",30,1
26,7662,"Male",22,1
36,8851,"Female",5,1
53,7016,"Female",30,1
31,7375,"Male",22,1
34,5898,"Male",7,0
60,2993,"Male",10,0
56,9963,"Male",9,0
70,6924,"Female",0,0
29,9327,"Male",17,0
32,8344,"Female",18,0
49,8882,"Female",17,1
59,1505,"Male",27,0
62,9468,"Female",13,0
24,2256,"Male",14,0
26,4368,"Male",15,1
58,9994,"Male",10,0
27,9385,"Female",5,1
40,4680,"Male",5,0
44,3238,"Female",12,1
70,3344,"Female",20,0
24,4332,"Female",7,1
70,6168,"Female",23,1
44,1360,"Male",11,1
49,1872,"Female",17,1
55,1575,"Male",5,1
42,6190,"Male",11,0
51,8956,"Female",29,0
46,7957,"Male",8,1
22,7685,"Female",14,1
25,8885,"Female",27,0
29,5420,"Female",0,1
30,7195,"Female",1,1
35,6942,"Male",2,1
50,2277,"Female",23,0
44,1922,"Female",28,0
42,9090,"Male",26,0
55,2610,"Male",11,0
38,4300,"Female",18,1
32,7706,"Male",0,1
58,3021,"Male",26,0
64,3950,"Male",4,1
43,5065,"Male",21,1
48,5519,"Female",19,1
33,2292,"Male",14,1
69,3655,"Female",1,0
47,7154,"Male",21,0
23,1633,"Male",15,1
60,1200,"Female",26,1
25,2295,"Male",3,1
39,8569,"Female",21,0
39,1501,"Male",17,1
56,4217,"Male",11,0
48,1383,"Male",28,0
65,2927,"Male",29,0
34,9818,"Male",9,1
67,8757,"Male",4,1
66,5364,"Male",13,1
51,1798,"Female",26,0
